date,asset,open,high,low,close,adj_close,volume,source,asset_class,description
2015-01-30,SPY,430.722187,436.109496,422.713486,428.067592,428.069012,8001518,sample,ETF,US equity market
2015-02-02,SPY,429.065367,433.667007,421.169384,425.735309,425.736792,4217719,sample,ETF,US equity market
2015-02-03,SPY,427.61238,432.582382,424.87229,429.828094,429.829661,7656019,sample,ETF,US equity market
2015-02-04,SPY,428.104438,429.66715,425.574256,427.133423,427.135051,6363432,sample,ETF,US equity market
2015-02-05,SPY,427.288087,428.614868,426.487243,427.81304,427.81474,5450023,sample,ETF,US equity market
2015-02-06,SPY,428.405861,436.463488,424.903488,432.924176,432.925967,3268282,sample,ETF,US equity market
2015-02-09,SPY,432.647843,437.963651,417.847018,423.044837,423.046656,7281104,sample,ETF,US equity market
2015-02-10,SPY,421.135919,427.982552,405.625185,412.328634,412.330474,5886449,sample,ETF,US equity market
2015-02-11,SPY,412.548712,431.248842,405.718729,424.225541,424.227503,8705927,sample,ETF,US equity market
2015-02-12,SPY,424.280775,428.131054,418.86661,422.702567,422.70459,6629222,sample,ETF,US equity market
2015-02-13,SPY,421.564401,424.349878,418.369302,421.152054,421.154138,4250274,sample,ETF,US equity market
2015-02-16,SPY,423.122929,430.024366,403.844699,410.540915,410.543013,4333733,sample,ETF,US equity market
2015-02-17,SPY,412.003588,418.721122,392.154924,398.654813,398.656914,8827300,sample,ETF,US equity market
2015-02-18,SPY,396.832857,400.939758,389.970828,394.048918,394.051058,3353655,sample,ETF,US equity market
2015-02-19,SPY,395.592892,404.414617,376.947875,385.545544,385.547699,5610139,sample,ETF,US equity market
2015-02-20,SPY,384.949452,404.487053,378.584764,397.908109,397.910397,4247292,sample,ETF,US equity market
2015-02-23,SPY,396.214176,404.201331,392.16592,400.113237,400.115601,4788416,sample,ETF,US equity market
2015-02-24,SPY,398.963458,403.768898,393.91048,398.712902,398.715322,4924804,sample,ETF,US equity market
2015-02-25,SPY,399.387826,401.6989,397.020196,399.330941,399.333428,4104664,sample,ETF,US equity market
2015-02-26,SPY,401.390878,410.931814,373.202558,382.289459,382.291901,7812217,sample,ETF,US equity market
2015-02-27,SPY,384.196923,387.481225,375.855009,379.095703,379.098184,6171963,sample,ETF,US equity market
2015-03-02,SPY,378.36867,387.095881,373.858228,382.535765,382.538328,4294956,sample,ETF,US equity market
2015-03-03,SPY,380.477549,385.979016,377.538432,383.020256,383.022883,6938737,sample,ETF,US equity market
2015-03-04,SPY,383.669479,385.686337,379.378762,381.383604,381.386279,5354434,sample,ETF,US equity market
2015-03-05,SPY,381.320532,390.595818,378.261242,387.487055,387.489833,8493881,sample,ETF,US equity market
2015-03-06,SPY,387.856737,392.125526,385.01329,389.271706,389.274558,5316035,sample,ETF,US equity market
2015-03-09,SPY,388.742323,391.926352,381.133488,384.280977,384.283851,2689859,sample,ETF,US equity market
2015-03-10,SPY,384.375607,387.842107,382.860246,386.319085,386.322034,6875403,sample,ETF,US equity market
2015-03-11,SPY,385.477784,389.931724,372.874032,377.232705,377.235643,6004629,sample,ETF,US equity market
2015-03-12,SPY,376.191308,382.992848,356.181959,362.740305,362.743186,10084866,sample,ETF,US equity market
2015-03-13,SPY,362.912396,364.016988,359.651123,360.749131,360.752051,8406418,sample,ETF,US equity market
2015-03-16,SPY,361.937233,363.115546,358.725932,359.897605,359.900573,7728053,sample,ETF,US equity market
2015-03-17,SPY,359.648316,366.525942,356.125302,362.970386,362.973434,5738431,sample,ETF,US equity market
2015-03-18,SPY,363.735143,366.088621,362.159365,364.509489,364.512605,6433001,sample,ETF,US equity market
2015-03-19,SPY,363.629302,373.465964,359.797499,369.571544,369.574759,8289044,sample,ETF,US equity market
2015-03-20,SPY,370.33248,376.414661,355.564609,361.501757,361.504956,4800577,sample,ETF,US equity market
2015-03-23,SPY,361.708826,382.661137,354.223282,374.90255,374.905923,5456206,sample,ETF,US equity market
2015-03-24,SPY,374.444399,382.428016,359.876101,367.716265,367.719628,4888164,sample,ETF,US equity market
2015-03-25,SPY,369.070552,386.90908,361.327911,378.958992,378.962514,5938504,sample,ETF,US equity market
2015-03-26,SPY,380.176759,383.859468,370.865275,374.492925,374.496461,17653682,sample,ETF,US equity market
2015-03-27,SPY,373.587722,377.01935,368.695082,372.113165,372.116733,4074205,sample,ETF,US equity market
2015-03-30,SPY,373.394478,395.207247,363.846222,385.353189,385.35694,6849656,sample,ETF,US equity market
2015-03-31,SPY,385.131084,386.686055,384.194685,385.748155,385.751966,6904202,sample,ETF,US equity market
2015-04-01,SPY,386.392345,389.023946,378.961603,381.560295,381.56412,7618053,sample,ETF,US equity market
2015-04-02,SPY,382.366268,389.035612,369.332081,375.888438,375.89226,11425827,sample,ETF,US equity market
2015-04-03,SPY,377.630741,379.665133,372.477605,374.495105,374.498966,13123611,sample,ETF,US equity market
2015-04-06,SPY,376.114277,386.355319,369.967654,380.14286,380.146834,3267399,sample,ETF,US equity market
2015-04-07,SPY,379.560816,381.103094,376.824526,378.361933,378.365942,8993435,sample,ETF,US equity market
2015-04-08,SPY,378.451301,399.725916,370.542429,391.543444,391.547648,5960033,sample,ETF,US equity market
2015-04-09,SPY,389.580298,396.031495,387.109563,393.535674,393.539954,6132714,sample,ETF,US equity market
2015-04-10,SPY,394.214244,412.883707,386.667102,405.12763,405.132093,4657585,sample,ETF,US equity market
2015-04-13,SPY,405.160173,414.332402,377.959852,386.714498,386.718812,7762144,sample,ETF,US equity market
2015-04-14,SPY,386.275152,390.318073,377.318209,381.309152,381.313459,11294451,sample,ETF,US equity market
2015-04-15,SPY,379.169576,396.000887,373.54775,390.215289,390.21975,7706035,sample,ETF,US equity market
2015-04-16,SPY,389.944686,394.958584,375.710177,380.603973,380.608375,5837637,sample,ETF,US equity market
2015-04-17,SPY,378.605407,398.131506,370.666579,389.954698,389.959262,9084417,sample,ETF,US equity market
2015-04-20,SPY,388.389479,394.835509,376.467925,382.821545,382.826077,6315660,sample,ETF,US equity market
2015-04-21,SPY,380.08039,386.777555,366.339357,372.91018,372.914644,5914784,sample,ETF,US equity market
2015-04-22,SPY,372.24853,373.326936,371.860542,372.938228,372.942742,6821558,sample,ETF,US equity market
2015-04-23,SPY,370.570166,376.698971,360.999909,367.070839,367.075331,11425056,sample,ETF,US equity market
2015-04-24,SPY,365.877725,369.000126,361.487723,364.599213,364.603722,5054800,sample,ETF,US equity market
2015-04-27,SPY,364.00773,375.094406,359.836223,370.844549,370.849184,4767126,sample,ETF,US equity market
2015-04-28,SPY,371.746341,387.972936,365.67344,381.736829,381.741649,5668624,sample,ETF,US equity market
2015-04-29,SPY,380.544821,402.281266,373.648026,395.120312,395.125353,14675887,sample,ETF,US equity market
2015-04-30,SPY,394.191376,399.502283,392.431717,397.726842,397.731966,7114571,sample,ETF,US equity market
2015-05-01,SPY,395.856916,401.79042,379.905597,385.686659,385.691678,4433930,sample,ETF,US equity market
2015-05-04,SPY,386.182524,389.034911,381.473471,384.312042,384.317091,5645365,sample,ETF,US equity market
2015-05-05,SPY,384.178902,393.411102,360.665704,369.546268,369.551169,9176244,sample,ETF,US equity market
2015-05-06,SPY,368.784083,375.510007,351.402471,357.930446,357.935237,8658086,sample,ETF,US equity market
2015-05-07,SPY,356.246543,361.742461,353.42446,358.899363,358.904211,6868551,sample,ETF,US equity market
2015-05-08,SPY,357.818217,359.138889,355.960307,357.278988,357.283859,8579391,sample,ETF,US equity market
2015-05-11,SPY,355.728255,360.807315,344.787043,349.781192,349.786003,8293060,sample,ETF,US equity market
2015-05-12,SPY,348.278616,359.869831,319.725486,330.73275,330.737339,14628220,sample,ETF,US equity market
2015-05-13,SPY,331.358403,350.953064,324.66858,344.007861,344.012675,9722904,sample,ETF,US equity market
2015-05-14,SPY,347.977613,352.91207,343.852452,348.777428,348.78235,9773913,sample,ETF,US equity market
2015-05-15,SPY,347.876898,354.52354,336.765392,343.325066,343.329952,4946016,sample,ETF,US equity market
2015-05-18,SPY,341.293608,343.75895,338.469204,340.931934,340.936825,7251964,sample,ETF,US equity market
2015-05-19,SPY,340.053147,342.902909,333.150894,335.966408,335.971267,7362402,sample,ETF,US equity market
2015-05-20,SPY,333.142176,337.813225,324.045808,328.653926,328.658717,6103811,sample,ETF,US equity market
2015-05-21,SPY,327.546703,333.643615,314.984387,320.95867,320.963385,8511951,sample,ETF,US equity market
2015-05-22,SPY,321.35484,341.109134,314.611933,334.098823,334.103769,13363834,sample,ETF,US equity market
2015-05-25,SPY,334.499212,346.389375,327.028727,338.82234,338.827394,6426150,sample,ETF,US equity market
2015-05-26,SPY,337.625096,365.486061,326.921622,354.255371,354.260694,6042632,sample,ETF,US equity market
2015-05-27,SPY,353.697503,370.331447,319.462126,335.227446,335.23252,5965424,sample,ETF,US equity market
2015-05-28,SPY,335.415893,343.452112,315.589086,323.33588,323.340809,6311107,sample,ETF,US equity market
2015-05-29,SPY,326.281349,328.902647,321.150704,323.751679,323.756649,15283769,sample,ETF,US equity market
2015-06-01,SPY,323.558761,341.13883,316.450228,333.805185,333.810345,6753422,sample,ETF,US equity market
2015-06-02,SPY,334.536844,341.076953,316.449805,322.759673,322.764695,5368392,sample,ETF,US equity market
2015-06-03,SPY,321.806302,343.415189,261.165451,279.964728,279.969114,4563213,sample,ETF,US equity market
2015-06-04,SPY,277.394907,290.450457,273.037624,285.958656,285.963165,3355797,sample,ETF,US equity market
2015-06-05,SPY,282.321979,288.703765,268.377444,274.584324,274.588682,5864021,sample,ETF,US equity market
2015-06-08,SPY,270.853404,296.644483,260.58751,285.811642,285.816207,7085111,sample,ETF,US equity market
2015-06-09,SPY,286.713571,290.001971,282.468784,285.746089,285.750681,5460371,sample,ETF,US equity market
2015-06-10,SPY,289.708893,291.978632,282.639109,284.870945,284.875551,4567318,sample,ETF,US equity market
2015-06-11,SPY,285.903179,286.993977,283.164944,284.249433,284.254057,7691693,sample,ETF,US equity market
2015-06-12,SPY,285.132823,289.853755,276.464095,281.118563,281.123164,9829082,sample,ETF,US equity market
2015-06-15,SPY,279.184164,293.78086,274.136052,288.563161,288.56791,8778687,sample,ETF,US equity market
2015-06-16,SPY,286.079502,296.05427,264.342985,273.892839,273.897373,6589726,sample,ETF,US equity market
2015-06-17,SPY,273.336239,275.527363,269.625304,271.804146,271.808671,11236921,sample,ETF,US equity market
2015-06-18,SPY,271.151028,275.547099,268.217817,272.598233,272.602796,5735710,sample,ETF,US equity market
2015-06-19,SPY,272.387454,274.118411,269.697533,271.422357,271.426925,8937425,sample,ETF,US equity market
2015-06-22,SPY,272.213243,287.30128,265.513152,280.399693,280.404437,5164767,sample,ETF,US equity market
2015-06-23,SPY,279.032295,287.583612,272.408914,280.915529,280.920307,5635024,sample,ETF,US equity market
2015-06-24,SPY,279.941277,285.891833,271.723979,277.625306,277.630052,10918400,sample,ETF,US equity market
2015-06-25,SPY,278.77021,286.18565,260.657155,267.780257,267.784857,5146252,sample,ETF,US equity market
2015-06-26,SPY,267.910544,271.850848,257.761865,261.609496,261.614013,7251834,sample,ETF,US equity market
2015-06-29,SPY,262.145408,275.569374,257.666851,270.940558,270.945258,4912284,sample,ETF,US equity market
2015-06-30,SPY,270.170584,276.033624,258.110525,263.836098,263.840697,7034401,sample,ETF,US equity market
2015-07-01,SPY,264.757758,268.687842,253.873782,257.699087,257.703599,4297958,sample,ETF,US equity market
2015-07-02,SPY,258.148245,259.749026,254.952107,256.542934,256.547447,5978865,sample,ETF,US equity market
2015-07-03,SPY,255.33958,260.801676,244.191661,249.529469,249.533878,2819400,sample,ETF,US equity market
2015-07-06,SPY,251.687358,253.251224,246.5981,248.139924,248.144328,7414926,sample,ETF,US equity market
2015-07-07,SPY,247.951283,264.812661,242.071961,258.678968,258.683578,6154279,sample,ETF,US equity market
2015-07-08,SPY,261.090582,275.937376,255.075687,269.723597,269.728425,4002926,sample,ETF,US equity market
2015-07-09,SPY,269.874235,276.793182,251.266834,257.878232,257.882867,4385410,sample,ETF,US equity market
2015-07-10,SPY,259.038638,263.247457,251.439848,255.592677,255.597289,4948555,sample,ETF,US equity market
2015-07-13,SPY,254.793181,257.469344,251.780564,254.453155,254.457764,6453490,sample,ETF,US equity market
2015-07-14,SPY,256.348255,258.141289,249.915759,251.676113,251.680691,4409766,sample,ETF,US equity market
2015-07-15,SPY,252.761173,256.254877,246.774927,250.233697,250.238265,7241845,sample,ETF,US equity market
2015-07-16,SPY,250.665568,251.397636,249.617045,250.348186,250.352774,8270213,sample,ETF,US equity market
2015-07-17,SPY,251.271095,252.571334,247.657826,248.946033,248.950611,11827612,sample,ETF,US equity market
2015-07-20,SPY,248.847628,251.973237,247.66142,250.777829,250.782457,7386618,sample,ETF,US equity market
2015-07-21,SPY,250.690529,254.637628,239.283771,243.111539,243.116041,12382270,sample,ETF,US equity market
2015-07-22,SPY,243.515482,250.900518,222.752541,229.71918,229.723448,7837379,sample,ETF,US equity market
2015-07-23,SPY,230.118001,233.59988,219.511979,222.884408,222.888562,8291383,sample,ETF,US equity market
2015-07-24,SPY,222.295269,224.605438,221.027686,223.331944,223.336121,8947781,sample,ETF,US equity market
2015-07-27,SPY,223.303115,231.961425,219.88252,228.461808,228.466094,9420449,sample,ETF,US equity market
2015-07-28,SPY,228.390777,238.142476,224.831503,234.488179,234.492592,5171129,sample,ETF,US equity market
2015-07-29,SPY,234.807035,247.032382,230.890896,242.979935,242.984521,16356757,sample,ETF,US equity market
2015-07-30,SPY,243.893581,245.04732,241.534953,242.682966,242.687559,5376104,sample,ETF,US equity market
2015-07-31,SPY,243.272128,251.53845,223.063893,230.910158,230.914541,21387844,sample,ETF,US equity market
2015-08-03,SPY,231.355599,236.720449,227.604256,232.943362,232.947795,11900708,sample,ETF,US equity market
2015-08-04,SPY,231.975042,236.164813,221.659859,225.736962,225.74127,8998699,sample,ETF,US equity market
2015-08-05,SPY,223.966171,235.908263,219.737133,231.536282,231.540712,9087121,sample,ETF,US equity market
2015-08-06,SPY,231.434014,244.245897,227.188734,239.846307,239.850907,10222796,sample,ETF,US equity market
2015-08-07,SPY,240.434661,244.564619,231.305708,235.348298,235.352823,6029136,sample,ETF,US equity market
2015-08-10,SPY,236.205343,240.413459,233.918011,238.107706,238.112295,9156168,sample,ETF,US equity market
2015-08-11,SPY,238.220134,241.039242,231.439138,234.2108,234.215324,5436294,sample,ETF,US equity market
2015-08-12,SPY,233.36924,235.006911,229.512453,231.134441,231.138916,7591667,sample,ETF,US equity market
2015-08-13,SPY,231.146362,237.90489,228.826603,235.541027,235.545596,6667197,sample,ETF,US equity market
2015-08-14,SPY,234.622121,248.095348,230.590831,243.904567,243.909308,11175365,sample,ETF,US equity market
2015-08-17,SPY,243.355396,245.594685,238.654128,240.870553,240.875244,7464518,sample,ETF,US equity market
2015-08-18,SPY,240.852249,245.198333,228.730228,232.933419,232.937965,6598677,sample,ETF,US equity market
2015-08-19,SPY,232.857993,234.986641,231.912576,234.036439,234.041015,19543897,sample,ETF,US equity market
2015-08-20,SPY,232.487355,244.744697,229.08903,241.218743,241.223467,3536938,sample,ETF,US equity market
2015-08-21,SPY,243.141858,244.959688,239.909323,241.716497,241.721239,10903023,sample,ETF,US equity market
2015-08-24,SPY,242.340012,247.311881,240.042739,244.989492,244.994306,7276887,sample,ETF,US equity market
2015-08-25,SPY,245.741772,247.217514,240.904136,242.359567,242.364337,4223730,sample,ETF,US equity market
2015-08-26,SPY,242.536075,248.848165,239.864126,246.136551,246.141402,5793244,sample,ETF,US equity market
2015-08-27,SPY,246.009756,249.686836,238.84316,242.46729,242.472075,8234507,sample,ETF,US equity market
2015-08-28,SPY,240.448494,244.438385,235.448128,239.42097,239.425701,10145125,sample,ETF,US equity market
2015-08-31,SPY,239.292465,250.663112,207.596084,217.952714,217.957027,13125253,sample,ETF,US equity market
2015-09-01,SPY,217.270797,225.075496,214.383771,222.123983,222.128384,5487985,sample,ETF,US equity market
2015-09-02,SPY,222.488306,224.544967,221.460732,223.512662,223.517095,19379614,sample,ETF,US equity market
2015-09-03,SPY,223.173092,233.634594,219.100508,229.447512,229.452067,9021816,sample,ETF,US equity market
2015-09-04,SPY,230.006725,257.79677,221.119291,248.206114,248.211047,10635738,sample,ETF,US equity market
2015-09-07,SPY,246.981618,270.252763,239.688949,262.501825,262.507047,18800364,sample,ETF,US equity market
2015-09-08,SPY,261.96604,271.950277,258.918726,268.823197,268.828549,12288146,sample,ETF,US equity market
2015-09-09,SPY,269.144026,273.404485,256.379772,260.503454,260.508644,7321254,sample,ETF,US equity market
2015-09-10,SPY,260.50663,280.766148,203.826182,221.014402,221.018809,8085641,sample,ETF,US equity market
2015-09-11,SPY,220.913193,232.423057,188.12889,198.469404,198.473363,5927949,sample,ETF,US equity market
2015-09-14,SPY,198.764818,200.058893,194.607232,195.882541,195.886451,16467277,sample,ETF,US equity market
2015-09-15,SPY,195.527556,200.704587,193.465284,198.609806,198.613772,14246943,sample,ETF,US equity market
2015-09-16,SPY,199.929842,206.217586,182.022696,187.933146,187.936901,17886140,sample,ETF,US equity market
2015-09-17,SPY,187.802319,202.344124,182.627527,196.91815,196.922085,14641812,sample,ETF,US equity market
2015-09-18,SPY,196.894851,221.866311,189.416882,213.748258,213.752531,7740345,sample,ETF,US equity market
2015-09-21,SPY,213.927797,218.038055,212.156867,216.247919,216.252243,16563529,sample,ETF,US equity market
2015-09-22,SPY,216.225449,229.495436,211.924072,225.019126,225.023626,15704475,sample,ETF,US equity market
2015-09-23,SPY,224.947302,231.185186,222.334073,228.530334,228.534904,11762467,sample,ETF,US equity market
2015-09-24,SPY,228.748595,230.058572,226.99961,228.307059,228.311625,6177346,sample,ETF,US equity market
2015-09-25,SPY,227.623989,243.007542,222.663817,237.825077,237.829833,16633547,sample,ETF,US equity market
2015-09-28,SPY,237.896804,242.540206,228.110607,232.65163,232.656282,8345331,sample,ETF,US equity market
2015-09-29,SPY,232.862275,247.209064,228.307152,242.466076,242.470924,14173597,sample,ETF,US equity market
2015-09-30,SPY,241.593983,257.688613,236.633299,252.503913,252.50896,13250533,sample,ETF,US equity market
2015-10-01,SPY,251.847661,265.271412,246.452975,259.708346,259.713535,17414809,sample,ETF,US equity market
2015-10-02,SPY,259.753886,261.601943,255.906472,257.740202,257.745349,11704507,sample,ETF,US equity market
2015-10-05,SPY,258.230279,266.764982,255.258156,263.729564,263.734828,12334219,sample,ETF,US equity market
2015-10-06,SPY,264.160014,266.644932,256.533311,258.969401,258.974567,14548587,sample,ETF,US equity market
2015-10-07,SPY,260.304364,263.754405,258.502185,261.940896,261.946118,9924455,sample,ETF,US equity market
2015-10-08,SPY,263.447994,264.121555,260.15688,260.823731,260.828927,7667702,sample,ETF,US equity market
2015-10-09,SPY,261.583238,270.11645,257.757857,266.223214,266.228514,24350979,sample,ETF,US equity market
2015-10-12,SPY,265.139991,266.877507,264.551897,266.286869,266.292166,7240283,sample,ETF,US equity market
2015-10-13,SPY,266.686115,271.094794,264.528516,268.919129,268.924473,7620355,sample,ETF,US equity market
2015-10-14,SPY,269.379699,272.939068,259.063369,262.532261,262.537474,15967844,sample,ETF,US equity market
2015-10-15,SPY,262.035227,267.227895,248.159496,253.176615,253.181636,9745551,sample,ETF,US equity market
2015-10-16,SPY,253.19141,283.806639,243.828615,273.685974,273.691396,6011958,sample,ETF,US equity market
2015-10-19,SPY,273.83695,302.158936,264.603232,292.302563,292.308347,11686693,sample,ETF,US equity market
2015-10-20,SPY,291.727651,297.448433,278.069293,283.631306,283.636911,13021182,sample,ETF,US equity market
2015-10-21,SPY,283.904722,291.406908,280.852907,288.307762,288.313453,7601752,sample,ETF,US equity market
2015-10-22,SPY,287.225956,295.223037,283.514802,291.457213,291.462957,9729623,sample,ETF,US equity market
2015-10-23,SPY,291.889371,293.377212,290.733728,292.220258,292.226009,7129589,sample,ETF,US equity market
2015-10-26,SPY,291.360309,302.634937,286.931078,298.103201,298.109058,18007321,sample,ETF,US equity market
2015-10-27,SPY,297.08446,301.090058,295.184819,299.177036,299.182905,9136180,sample,ETF,US equity market
2015-10-28,SPY,299.332323,304.464199,297.119045,302.2295,302.235419,8486996,sample,ETF,US equity market
2015-10-29,SPY,301.338973,306.822632,291.883151,297.293187,297.298999,6267360,sample,ETF,US equity market
2015-10-30,SPY,295.458115,297.417402,292.730233,294.684388,294.690139,25134481,sample,ETF,US equity market
2015-11-02,SPY,294.654815,299.083023,283.416514,287.740815,287.746419,8283890,sample,ETF,US equity market
2015-11-03,SPY,286.205207,287.587002,285.273628,286.653962,286.659535,12107280,sample,ETF,US equity market
2015-11-04,SPY,286.587248,287.85757,283.487746,284.749925,284.755448,8134092,sample,ETF,US equity market
2015-11-05,SPY,284.587288,285.909044,283.315246,284.636781,284.642291,5568951,sample,ETF,US equity market
2015-11-06,SPY,282.508438,286.342603,273.104275,276.861804,276.867152,12272215,sample,ETF,US equity market
2015-11-09,SPY,276.471709,279.140605,270.034961,272.667131,272.672385,14946088,sample,ETF,US equity market
2015-11-10,SPY,273.264196,287.173004,268.014482,281.760075,281.765492,7053366,sample,ETF,US equity market
2015-11-11,SPY,280.741393,287.323224,266.20483,272.595689,272.600917,9888905,sample,ETF,US equity market
2015-11-12,SPY,270.954177,275.210995,266.378949,270.630684,270.635862,8978986,sample,ETF,US equity market
2015-11-13,SPY,273.002082,293.806553,265.23031,285.674038,285.679489,12763711,sample,ETF,US equity market
2015-11-16,SPY,286.205961,314.535002,275.874642,303.576645,303.582423,5872518,sample,ETF,US equity market
2015-11-17,SPY,305.276685,317.590849,268.370618,279.651105,279.656412,9117571,sample,ETF,US equity market
2015-11-18,SPY,280.537484,286.862907,261.848677,267.888906,267.893976,15713953,sample,ETF,US equity market
2015-11-19,SPY,269.878039,275.301785,258.519648,263.821679,263.826658,16649354,sample,ETF,US equity market
2015-11-20,SPY,263.451649,267.518185,261.123164,265.174472,265.179462,8720902,sample,ETF,US equity market
2015-11-23,SPY,264.357919,268.392977,262.491204,266.511059,266.516058,11321859,sample,ETF,US equity market
2015-11-24,SPY,265.753205,277.331277,260.53509,271.990688,271.995774,13347556,sample,ETF,US equity market
2015-11-25,SPY,272.902679,278.121102,259.958756,265.026574,265.031514,13608834,sample,ETF,US equity market
2015-11-26,SPY,265.98431,268.517273,264.169036,266.697135,266.70209,10549998,sample,ETF,US equity market
2015-11-27,SPY,267.527901,277.470134,263.736251,273.592531,273.597597,8625665,sample,ETF,US equity market
2015-11-30,SPY,273.795823,280.573415,257.170822,263.698463,263.703329,10818485,sample,ETF,US equity market
2015-12-01,SPY,263.974741,265.510493,260.713824,262.23948,262.244302,7485985,sample,ETF,US equity market
2015-12-02,SPY,262.475405,266.517707,253.513854,257.479211,257.483929,9267156,sample,ETF,US equity market
2015-12-03,SPY,255.821102,275.994576,250.201991,270.06265,270.06758,9011415,sample,ETF,US equity market
2015-12-04,SPY,270.853633,299.196278,261.650262,289.363942,289.369205,11789803,sample,ETF,US equity market
2015-12-07,SPY,291.884765,317.999796,283.087172,308.695517,308.701109,5801050,sample,ETF,US equity market
2015-12-08,SPY,308.335272,338.448321,298.499119,327.985315,327.991233,11226144,sample,ETF,US equity market
2015-12-09,SPY,327.592622,341.351263,323.12482,336.758454,336.764506,13142617,sample,ETF,US equity market
2015-12-10,SPY,339.98695,343.997588,337.078459,341.079748,341.085853,11291957,sample,ETF,US equity market
2015-12-11,SPY,341.482259,357.230442,294.978707,309.239969,309.245481,11048284,sample,ETF,US equity market
2015-12-14,SPY,309.350068,345.018844,295.378977,330.11017,330.116029,6671297,sample,ETF,US equity market
2015-12-15,SPY,330.793369,338.661339,327.169222,334.991202,334.997121,8984710,sample,ETF,US equity market
2015-12-16,SPY,332.816781,352.620662,288.510143,306.76377,306.769166,5652951,sample,ETF,US equity market
2015-12-17,SPY,307.610857,319.278567,277.459699,288.398689,288.403739,13898117,sample,ETF,US equity market
2015-12-18,SPY,287.362433,327.543754,275.45644,314.512864,314.518346,8768101,sample,ETF,US equity market
2015-12-21,SPY,315.631205,335.123841,308.515001,327.734751,327.740437,10823222,sample,ETF,US equity market
2015-12-22,SPY,333.44561,345.479373,296.161745,307.250137,307.255441,5336685,sample,ETF,US equity market
2015-12-23,SPY,303.516372,365.712058,280.325708,339.752698,339.758535,11402666,sample,ETF,US equity market
2015-12-24,SPY,343.422027,354.252964,338.167876,348.914777,348.920741,11674155,sample,ETF,US equity market
2015-12-25,SPY,349.5218,361.159176,314.929612,325.776381,325.781921,7525772,sample,ETF,US equity market
2015-12-28,SPY,325.598869,361.154671,313.034674,347.73624,347.742123,11919643,sample,ETF,US equity market
2015-12-29,SPY,348.901228,357.890764,343.735078,352.668828,352.674763,14842111,sample,ETF,US equity market
2015-12-30,SPY,357.125958,363.984936,351.795377,358.631878,358.63788,13319568,sample,ETF,US equity market
2015-12-31,SPY,355.649073,363.266205,341.303689,348.773565,348.779371,6496002,sample,ETF,US equity market
2016-01-01,SPY,351.429971,359.011205,344.898882,352.460956,352.46679,14809299,sample,ETF,US equity market
2016-01-04,SPY,351.108523,361.144695,329.898023,339.605387,339.610977,15607679,sample,ETF,US equity market
2016-01-05,SPY,343.252355,351.794497,324.052437,332.322583,332.328021,5857308,sample,ETF,US equity market
2016-01-06,SPY,333.8592,355.490548,326.651946,347.978491,347.984152,12803729,sample,ETF,US equity market
2016-01-07,SPY,344.222022,371.665255,336.328382,363.333357,363.339232,5927319,sample,ETF,US equity market
2016-01-08,SPY,363.566553,372.058969,344.151135,352.382303,352.387966,6714307,sample,ETF,US equity market
2016-01-11,SPY,356.146506,369.086508,331.893979,344.407462,344.412963,10676730,sample,ETF,US equity market
2016-01-12,SPY,341.54068,368.891355,332.51708,359.396012,359.401716,7925492,sample,ETF,US equity market
